ENSEMBL gene ID	E6_Lung	E4_Lung1	E4_Lung2	E4_Lung3	E1_LUNG3770	E1_LUNG3773	E1_LUNG3842	E1_LUNG3886
ENSBTAG00000007379	0.0	0.0	0.0	0.0	0.020156	0.056538	0.0	0.078399
ENSBTAG00000007386	4.527147	11.8191	12.12161	14.11655	5.311309	5.131775	4.373023	4.927396
ENSBTAG00000007387	14.24899	29.4498	29.69127	20.34589	55.55953	50.4507	73.07695	50.14293
ENSBTAG00000007389	22.91558	13.1147	10.35013	11.28949	28.54418	33.65205	41.70499	34.45621
ENSBTAG00000007390	114.8357	50.54811	55.10461	49.25497	156.1571	152.1543	131.6717	143.7726
ENSBTAG00000007394	25.13647	80.35164	60.89348	68.70977	40.25405	30.49113	53.87238	25.91847
ENSBTAG00000007399	51.6807	168.9743	151.9999	186.0087	0.0	0.0	0.0	0.0
ENSBTAG00000007492	5.256255	1.756615	0.605459	2.063669	10.20317	11.36192	10.35762	6.838949
ENSBTAG00000007499	34.90887	65.85297	58.68103	59.8132	0.0	0.0	0.0	0.0
ENSBTAG00000007502	0.274445	0.0	0.0	0.426434	3.652436	1.457676	0.394212	1.213565
ENSBTAG00000007503	0.0	0.0	0.0	0.0	0.056214	0.0	0.033676	0.004302
ENSBTAG00000007510	15.14024	11.04914	18.68333	10.76855	42.12902	35.57046	42.18153	37.63518
ENSBTAG00000007515	37.14314	36.65748	37.88601	37.73008	55.27107	55.8475	60.23455	57.31509
ENSBTAG00000007534	1.354126	4.005121	3.349334	4.611046	5.865494	3.731378	3.484029	3.432136
ENSBTAG00000007547	0.0	0.0	0.0	0.0	0.091438	0.124993	0.176135	0.141993
ENSBTAG00000007562	10.00426	66.9552	43.7693	44.61422	97.36456	100.5161	79.17226	99.28146
ENSBTAG00000007566	6.480397	10.94954	15.94825	12.01607	5.934505	6.553776	3.533063	6.023495
ENSBTAG00000007572	77.80703	35.84543	36.5807	34.93693	161.8988	174.1043	188.1873	146.8824
ENSBTAG00000007581	11.53816	10.15683	9.550633	13.43811	11.3297	10.10384	27.43811	11.10549
ENSBTAG00000007593	2.326419	3.722781	5.344088	0.0	59.73951	57.591	46.32107	70.68493
ENSBTAG00000007595	6.362379	6.447312	5.625848	4.568133	12.8354	13.50952	10.3457	15.38229
ENSBTAG00000007609	16.87577	9.359758	3.526562	5.196355	16.50155	16.61338	17.79009	19.45739
ENSBTAG00000007611	19.36044	3.076884	2.20061	1.460999	23.4014	36.99818	19.90962	30.98967
