ENSEMBL gene ID	E1_LIVE3770	E1_LIVE3773	E1_LIVE3842	E1_LIVE3886	E4_Liver1	E4_Liver2	E4_Liver3
ENSBTAG00000017482	3.197831	2.346831	1.995175	2.34794	0.0	0.0	0.033143
ENSBTAG00000017486	1.654265	2.015342	1.171297	1.308344	0.0	0.087438	0.160959
ENSBTAG00000017492	22.26317	29.85091	29.96186	26.99259	74.93394	85.59547	85.48556
ENSBTAG00000017524	0.069456	0.037056	0.072173	0.0	0.0	0.0	0.0
ENSBTAG00000017525	15.42522	14.88572	15.9369	11.55214	34.11174	55.48329	39.98463
ENSBTAG00000017554	4.388159	4.530484	7.291394	4.256881	2.767093	3.348532	2.609572
ENSBTAG00000017557	2.839655	3.63011	2.682334	2.555529	4.921477	4.585764	4.71624
ENSBTAG00000017584	4.224155	4.110458	2.440538	3.123314	0.515552	0.099831	0.2336
ENSBTAG00000017595	1.06424	1.689077	1.04168	1.357024	0.0	1.494632	2.533309
ENSBTAG00000017604	42.42389	36.79735	47.10037	35.82099	9.471409	11.64593	12.25442
ENSBTAG00000017618	1.558698	1.578221	1.113493	1.528778	0.424577	0.042209	0.288145
ENSBTAG00000017624	15.30803	34.37452	25.81958	26.65714	1.772325	0.542644	0.809593
ENSBTAG00000017629	0.0	0.0	0.074831	0.0	0.0	0.099473	0.0
ENSBTAG00000017636	49.9581	45.48012	31.66221	38.45614	5.266531	4.652766	4.877075
ENSBTAG00000017674	0.11648	0.094304	0.190317	0.157989	0.0	0.0	0.0
ENSBTAG00000017678	0.234463	0.089962	0.059661	0.0	0.0	0.0	0.0
ENSBTAG00000017680	12.79795	11.89418	6.625105	9.732732	0.0	0.454176	0.405793
ENSBTAG00000017682	1.806079	2.046911	1.845367	1.681541	6.304912	3.72554	4.270685
ENSBTAG00000017695	0.238741	0.107129	0.262104	0.087219	0.0	0.0	0.112713
ENSBTAG00000017719	0.0	0.008918	0.016613	0.0	0.050177	0.223859	0.0
ENSBTAG00000017750	25.88122	25.20958	21.43769	32.30045	2.023043	1.228394	0.871591
ENSBTAG00000017751	0.093193	0.104861	0.213674	0.13424	0.0	0.0	0.0
ENSBTAG00000017755	54.36607	52.67188	49.11189	45.53598	15.10913	10.70886	9.006433
ENSBTAG00000017761	0.0	0.0	0.0	0.0	1.143902	0.903616	1.578545
ENSBTAG00000017769	0.0	0.0	0.0	0.0	0.0	0.416246	0.929694
ENSBTAG00000017775	0.896392	0.663405	0.602018	0.613745	0.203117	0.013045	0.417824
ENSBTAG00000017781	2.567876	2.75053	2.901732	2.564962	6.731169	3.511101	5.036977
ENSBTAG00000017790	7.125428	5.280127	9.158126	5.867326	0.0	0.0	0.0
ENSBTAG00000017794	0.077571	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000017814	45.9027	50.32972	45.71299	66.83318	13.52277	12.90005	12.59477
ENSBTAG00000017826	22.88345	38.28627	41.30164	40.89783	0.423115	0.589864	0.598224
ENSBTAG00000017835	2.233323	1.165454	1.093057	1.759895	5.702171	6.257233	2.487205
ENSBTAG00000017877	0.136214	0.162669	0.366259	0.041885	0.0	0.0	0.026737
ENSBTAG00000017885	13.03764	12.65858	10.07672	10.4649	9.184608	4.239852	7.186303
ENSBTAG00000017886	0.087342	0.0	0.0	0.069966	0.0	0.0	0.0
ENSBTAG00000017889	41.57118	42.9698	51.41376	43.17445	10.66319	11.28786	9.215361
ENSBTAG00000017890	16.02858	14.27939	14.59666	13.6294	0.0	0.289322	0.593937
ENSBTAG00000017907	1.872514	2.644738	1.888309	1.732676	2.628412	1.631015	2.755409
ENSBTAG00000017921	27.77939	29.06949	18.49648	29.36091	0.212212	0.427334	0.158286
ENSBTAG00000017925	32.24805	40.60202	24.36005	40.89483	5.289192	2.065136	2.776292
ENSBTAG00000017932	2.556616	2.764285	3.859225	2.661918	0.0	1.23417	0.406886
ENSBTAG00000017964	6.070076	6.823023	5.881421	6.954679	3.11713	3.107692	2.072656
ENSBTAG00000017969	5.579441	6.703112	7.690392	2.196539	0.0	0.0	0.686165
ENSBTAG00000017970	87.09342	77.25416	59.4201	68.87905	7.891462	5.869941	6.669122
ENSBTAG00000017996	30.54352	36.53609	24.51241	29.67663	7.663607	3.463492	5.018791
ENSBTAG00000018010	0.222113	0.318856	0.263661	0.266499	0.014861	0.175327	0.191111
ENSBTAG00000018025	0.500359	0.401864	0.797647	0.525994	0.353219	0.061639	0.534726
ENSBTAG00000018048	21.59149	22.30347	11.88916	18.05667	2.252569	0.595652	1.302427
ENSBTAG00000018065	20.95383	17.75659	19.67074	17.61552	7.092273	6.853727	7.74936
ENSBTAG00000018067	2.91513	2.378694	2.321692	2.098284	13.40093	8.104586	8.491902
ENSBTAG00000018070	9.107059	7.372277	8.79037	6.243803	0.951196	0.265171	0.0
ENSBTAG00000018071	0.422033	0.033207	0.057871	0.0	0.0	0.070652	0.0
ENSBTAG00000018108	21.302	23.42524	12.88842	18.60523	0.461689	0.478022	0.844031
ENSBTAG00000018115	510.4995	600.9494	663.2506	549.8085	360.4692	356.1467	352.4986
ENSBTAG00000018116	16.62498	10.40832	8.715329	12.75929	0.616328	0.548029	0.984384
ENSBTAG00000018126	3.734291	3.712742	2.726166	3.363572	0.815793	0.65633	1.008493
ENSBTAG00000018142	2.185703	3.196136	1.875351	2.115743	2.803761	1.514288	0.796923
ENSBTAG00000018147	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000018153	26.36264	23.53652	24.01316	20.39245	1.030407	2.330832	3.10652
ENSBTAG00000018156	1.508313	2.62737	1.93906	1.079227	0.0	0.043525	0.0
ENSBTAG00000018157	0.891581	0.903524	0.747055	0.666591	0.0	0.0	0.021739
ENSBTAG00000018169	3.353718	4.010664	2.580218	3.969039	0.149053	0.280416	0.211434
ENSBTAG00000018172	14.08681	17.25701	13.08697	15.27937	0.0	0.699349	1.370799
ENSBTAG00000018175	7.741949	6.998368	6.697068	6.273591	1.396598	0.732393	1.172897
ENSBTAG00000018185	0.498652	0.261316	0.143619	0.468077	0.0	0.035711	0.682999
ENSBTAG00000018186	9.020082	7.363676	5.517253	4.799021	2.399257	3.164581	1.727734
ENSBTAG00000018205	1.581496	1.548949	1.219368	1.435596	0.042837	0.28074	0.30618
ENSBTAG00000018207	45.44247	42.28862	38.6154	38.62217	36.1296	32.53894	37.90362
ENSBTAG00000018236	12.98738	14.84923	12.15365	10.91905	10.84126	14.08406	13.20127
