ENSEMBL gene ID	E1_ADIP3773	E1_ADIP3842	E1_ADIP3886	E4_Brainlobe1	E4_Brainlobe2	E4_Brainlobe3	E6_Cerebellum	E4_cerebellum1	E4_cerebellum2	E4_cerebellum3	E1_HEAR3770	E1_HEAR3773	E1_HEAR3842	E1_HEAR3886	E4_Heart1	E4_Heart2	E4_Heart3	E1_LIVE3770	E1_LIVE3773	E1_LIVE3842	E1_LIVE3886	E4_Liver1	E4_Liver2	E4_Liver3	E6_Lung	E4_Lung1	E4_Lung2	E4_Lung3	E1_LUNG3770	E1_LUNG3773	E1_LUNG3842	E1_LUNG3886	E1_SPLE3770	E1_SPLE3773	E1_SPLE3842	E1_SPLE3886	E4_Spleen1	E4_Spleen2	E4_Spleen3
ENSBTAG00000021275	45.8844	40.7147	42.83918	5.695436	2.233322	4.366772	15.66612	3.632147	3.147662	4.946412	19.47476	22.46499	20.55201	17.64008	1.571685	0.342304	1.057272	52.41041	61.35524	52.5285	60.81057	2.378924	3.931498	4.467173	26.28934	11.62756	9.668854	8.154967	72.45157	71.64912	69.73144	73.21046	64.43218	70.63303	63.34858	62.54368	12.03029	12.27422	6.361731
ENSBTAG00000021301	30.46718	32.85844	38.38056	2.214885	0.0	1.533522	27.6941	6.729496	5.820595	9.873832	69.77361	43.59298	59.35527	68.3028	1.548946	0.626578	4.724435	11.27274	9.547613	10.50582	10.96775	0.0	0.145709	0.0	24.01477	3.51611	7.37907	2.882712	58.64945	54.04452	81.31032	70.63982	48.96612	46.03194	68.9239	64.14733	3.177932	10.07914	2.527951
ENSBTAG00000021302	1.895706	2.105924	25.18097	1.970221	1.485529	1.276346	9.256292	4.123308	2.238571	6.470094	0.801325	1.255888	0.732818	0.894615	0.251259	0.0	0.64877	0.078373	0.17229	0.001976	0.213791	0.0	0.140213	0.328502	4.97448	3.236055	1.421619	2.425195	2.114023	2.120788	3.270922	3.435646	1.659995	1.423129	1.282923	0.997531	2.483395	1.720666	1.198165
ENSBTAG00000021303	5.270686	7.758568	6.30411	3.704613	2.283826	1.381984	15.27387	9.641043	5.237478	9.549553	13.12767	11.39241	10.94676	11.47834	4.749598	3.343093	5.780261	3.734941	4.205215	4.585122	4.627956	0.363746	0.765775	1.497018	9.331529	4.172175	0.80854	2.853255	5.006361	5.608873	8.651965	7.042976	5.575535	4.723409	5.293831	4.556806	1.179973	3.221894	1.255883
ENSBTAG00000021304	5.820862	6.328016	6.53038	19.09054	18.83775	22.41016	20.25288	32.14793	23.4823	29.97268	4.649534	5.919965	4.236375	4.819581	3.912715	4.094396	5.924966	2.729283	2.90679	2.113947	2.238495	2.227036	1.219591	2.424286	13.99638	10.34261	11.4129	11.25997	10.65377	12.86184	10.5156	12.54482	10.7057	10.13984	9.345263	8.508585	11.74448	14.90335	9.425482
ENSBTAG00000021310	0.192191	0.203259	0.27449	0.094331	0.029123	0.098042	0.494607	0.386603	0.268633	0.314478	0.126024	0.13562	0.171076	0.17188	0.0	0.0	0.0	0.146007	0.155569	0.020601	0.095042	0.0	0.0	0.0	2.295535	0.736922	1.348286	2.048657	21.36193	20.96019	5.933652	19.69897	0.271218	0.376765	0.244605	0.757401	0.087959	0.171104	0.0826
ENSBTAG00000021316	0.056063	0.210336	0.057201	0.0	0.058514	0.0	0.0	0.0	0.055474	0.0	0.0	0.015553	0.048459	0.083688	0.0	0.0	0.0	0.069219	0.068952	0.02669	0.033292	0.0	0.0	0.099775	1.908765	0.494357	0.091654	1.49195	24.6019	21.34827	8.199734	33.74953	0.258494	0.326877	0.492392	0.447343	0.0	0.0	0.0
ENSBTAG00000021319	49.09265	58.62052	60.59801	21.66392	28.76603	22.10913	20.762	20.86326	25.51804	23.69498	97.08845	89.39551	94.33534	102.1889	11.63854	15.05543	12.53544	48.10188	37.04227	47.82119	43.12954	13.20456	13.98445	11.93703	17.39999	18.89385	18.61192	21.33009	49.59907	40.8826	59.85413	41.99725	68.59345	54.44716	71.39878	76.76568	9.234594	20.26358	22.85079
ENSBTAG00000021337	21.785	20.72188	24.11232	5.964678	3.539765	4.090449	21.26674	6.64984	3.08706	8.363804	6.248509	9.929594	5.275434	5.587466	0.052604	0.128382	0.467112	9.237993	10.48627	5.103902	7.012674	0.108382	0.039355	0.0	11.93166	1.466542	0.404901	1.148815	24.31339	21.33397	24.99341	23.08676	39.24075	36.92123	26.49581	26.08077	2.355971	4.899694	1.157945
ENSBTAG00000021378	74.26945	283.1864	216.1469	54.92657	44.84005	32.13147	99.41014	34.06101	42.79524	18.47245	104.7664	137.3238	131.9428	123.3858	14.20477	5.210729	10.07062	32.62953	21.00457	29.05536	22.18014	12.89559	5.659817	6.559067	57.86288	51.96699	51.29156	42.02238	58.14406	58.70141	140.5206	98.79782	61.10223	46.46429	72.03184	73.24264	26.3929	31.63994	15.03489
ENSBTAG00000021421	0.0	0.0	0.0	6.630103	6.81705	7.343146	33.33597	5.279336	6.841775	10.81054	0.0	0.0	0.0	0.0	8.735854	7.136933	11.06135	0.0	0.0	0.0	0.0	49.46175	47.70221	45.94186	81.6764	21.4705	25.30731	20.69665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.5426	123.8521	76.13728
ENSBTAG00000021449	7.531448	8.096272	9.987148	4.098881	1.961167	4.93129	0.0	1.710266	6.307111	4.067237	5.464629	5.878039	4.035288	5.647068	0.0	0.0	0.438716	5.417535	5.65612	4.526722	4.312803	0.0	0.0	0.0	2.574748	2.87305	0.0	5.5036	12.44917	13.36538	9.770205	13.05799	14.75209	13.67447	13.15495	12.03674	1.184675	5.377848	2.560967
ENSBTAG00000021464	43.16215	46.89938	40.16319	5.121933	5.732671	8.612071	2.336514	10.58765	8.402349	5.484436	13.55962	18.25771	11.48167	11.61172	0.0	0.0	0.501641	14.09031	18.65524	11.09011	13.00057	0.0	0.0	0.398708	5.735635	1.127056	0.0	1.389001	48.30428	54.25105	56.46749	57.43031	28.9856	34.46316	28.81584	28.02552	2.261255	2.391748	0.0
ENSBTAG00000021471	3.548187	3.869987	3.151746	5.040636	6.919412	4.313833	2.604109	5.849082	6.93775	4.795583	3.140228	3.605891	3.12585	2.768587	3.789791	4.465772	0.947862	2.238485	2.454108	1.892382	1.617274	2.89068	4.699341	4.510944	4.018355	10.69249	1.515192	9.988971	3.360059	3.32458	4.749908	4.457551	4.799611	3.125605	4.835645	4.695546	6.177888	5.44309	8.852077
ENSBTAG00000021482	30.22624	39.51095	40.51697	20.79327	14.04569	14.67474	28.55159	16.61003	16.98378	22.73303	18.48043	22.70202	16.06346	16.13546	6.737947	7.250264	12.1909	27.57793	26.04283	24.17973	21.34908	9.974991	10.59261	12.99853	51.75147	29.46161	32.26879	30.32817	54.01477	63.55218	57.98803	59.33571	44.917	46.20453	45.77416	40.04032	22.82606	32.14908	15.8217
ENSBTAG00000021485	30.80739	28.95569	18.13742	0.0	0.0	0.289102	0.0	0.0	0.0	0.0	62.66262	66.03657	38.19049	34.96332	0.0	0.0	0.0	11.24574	7.227077	6.984461	5.56597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.31983	58.33312	69.72681	31.87686	147.665	133.434	184.1788	118.242	0.831337	0.558652	4.671506
ENSBTAG00000021550	0.874641	0.726179	1.179533	0.113348	0.059251	0.0	2.974408	0.692504	0.499238	1.285576	0.511617	0.578867	0.332004	0.333467	0.0	0.0	0.0	0.502316	0.770472	0.483184	0.697179	0.0	0.0	0.007069	0.920165	0.0	0.0	0.0	1.47771	1.077458	1.489652	1.285454	2.038581	2.001065	0.844147	1.085686	0.0	0.0	0.0
ENSBTAG00000021570	0.261417	0.183515	0.090653	0.040203	0.160337	0.133413	0.448234	0.0	0.063841	0.05815	0.287513	0.539793	0.151327	0.099006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.267531	0.066792	0.068125	0.0	0.443699	0.63067	0.597226	0.378553	0.167477	0.061595	0.11104	0.0311	0.0	0.0	0.0
ENSBTAG00000021600	1.621445	2.160697	2.111471	3.873222	4.873644	5.645164	2.264971	6.546915	6.660955	3.91029	1.262204	1.843391	1.125801	1.809715	1.099694	1.238562	1.989784	1.629076	1.619855	1.198471	1.338403	2.005205	2.542474	3.637125	2.605279	11.74826	11.70423	8.516258	4.374582	2.878616	1.888001	3.08423	1.93683	1.311986	1.449912	1.795946	3.093832	3.387813	5.682839
ENSBTAG00000021606	3.745453	2.946766	2.766326	0.0	0.0	1.668643	0.0	1.734337	2.485572	0.404863	10.97544	10.4062	9.124569	11.50474	0.514713	0.0	1.530817	2.718743	3.01713	2.771484	3.647728	0.203255	0.0	0.0	0.0	0.984123	0.0	0.0	3.653502	2.348872	3.027474	3.39586	4.152136	2.755457	3.663619	3.301148	1.748996	0.402453	0.0
ENSBTAG00000021607	3.71391	3.941112	3.613925	7.069304	8.267447	8.630073	8.62414	2.535253	5.407348	4.227767	8.479971	6.662901	10.05181	14.0426	0.0	2.804463	1.602145	3.552773	4.742795	5.919773	4.009934	0.0	2.377613	1.32698	1.752094	4.168873	2.05242	5.589914	3.588183	1.991755	3.923364	2.3629	3.72893	3.487769	4.785378	4.759966	0.0	3.059012	2.562225
ENSBTAG00000021615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.606504	0.0	0.0	0.0	0.0	0.0	0.0	3.547637	5.844306	4.021962	2.886672	0.0	0.0	0.207515	1.517742	0.0	0.0	0.0	0.263687	0.233753	0.086768	0.0	0.0	0.0	0.0	0.122704	0.0	0.0	0.0
ENSBTAG00000021616	1.180714	2.03618	1.919117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083869	0.13055	0.141026	0.228661	0.0	0.0	0.0	0.162329	0.0	0.138345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.337788	0.746798	0.08193	0.798045	1.86803	0.295784	1.130414	0.0	0.0	0.0
ENSBTAG00000021633	6.660284	4.936499	6.279763	12.5659	11.10203	13.46241	5.736782	24.89778	21.08963	17.82871	1.930519	3.240828	1.65305	2.370534	7.359612	5.395053	6.918182	3.877611	3.771071	3.62853	2.798021	15.93197	13.42817	13.62287	11.14968	42.07452	43.41292	36.55601	9.158542	8.997519	8.870105	8.061206	11.22932	11.4916	11.10377	10.41379	32.23321	32.16388	43.01538
ENSBTAG00000021634	9.647119	10.41356	14.23263	7.594904	7.200991	7.731536	12.52853	7.893004	7.078061	9.42272	4.707828	6.945205	4.043764	4.492062	2.258196	2.384815	2.981779	3.823706	3.88237	4.244627	4.156782	2.147084	1.175145	2.091148	17.39613	10.23178	5.817924	8.270863	16.62649	18.0912	10.99606	13.91261	8.38801	8.926595	7.470562	8.248563	7.106847	8.029339	6.673359
ENSBTAG00000021637	8.209243	12.49333	10.90938	3.190388	2.837131	2.726092	4.592697	3.78871	4.438324	4.478113	9.757263	9.97803	10.27531	11.15772	0.424738	0.928795	0.977236	5.038126	5.134898	5.310721	4.705781	0.625015	0.789337	0.461657	5.129529	5.062388	1.964674	3.755267	12.00325	10.4452	11.14372	11.48884	10.64233	10.66105	11.07067	10.93011	3.083696	3.992945	2.124274
ENSBTAG00000021645	4.263993	3.871728	4.181695	6.258099	6.224005	9.071227	5.086575	7.959037	8.442071	7.231282	3.142956	3.129975	1.945694	3.180625	1.559791	1.96829	1.495221	2.811976	2.534951	2.647353	1.404867	1.320327	1.704255	2.263031	8.132905	6.650958	4.079792	9.488821	8.030686	6.248824	5.367813	5.399774	16.50859	13.32669	13.95967	15.9453	13.87754	13.17661	14.20704
ENSBTAG00000021649	3.36249	6.164701	3.426758	1.825788	1.487214	0.96692	6.404451	2.124542	2.739656	2.034658	2.261084	2.983367	3.542673	1.78144	2.822922	2.001558	3.899537	1.573485	1.155568	2.09242	1.068179	3.882111	2.290709	2.323005	13.09951	6.911779	6.695028	5.467743	2.082414	2.686924	4.132748	3.370366	6.520137	4.608175	7.125406	7.438083	10.65341	14.19008	11.64968
ENSBTAG00000021653	17.94232	14.151	17.86011	20.98225	20.93946	28.29902	11.19697	18.69779	18.36952	17.14947	10.33584	12.37931	8.905796	10.03468	5.25622	4.147094	5.549618	11.57399	11.93341	9.119186	9.424538	6.166884	5.562585	7.204421	16.6414	21.75185	25.51416	23.35913	29.1184	31.74014	25.32674	30.59313	32.9021	30.26818	26.33932	30.35834	25.15627	31.40093	26.01975
ENSBTAG00000021660	14.77979	22.63508	20.46704	11.07085	14.05551	13.81753	3.585978	16.49622	20.28567	15.77022	6.706461	7.613698	8.332001	7.129385	7.270782	7.531991	8.36328	6.269819	5.562531	7.896601	4.951928	9.578474	8.070108	12.12025	12.92924	23.61091	36.3347	27.64917	12.1049	12.85877	12.18721	12.51285	13.45324	9.876448	16.86032	12.69641	20.80886	23.67934	36.39706
ENSBTAG00000021661	1.558178	1.785067	1.737843	0.525054	0.50763	0.947035	0.149758	1.012355	0.882101	0.442702	0.414077	0.464375	0.426165	0.269552	0.0	0.354968	0.272851	1.010645	0.903815	0.693025	0.83614	0.293263	1.515928	1.19135	0.61413	1.330353	1.878128	2.286637	2.514765	3.301536	1.205233	2.687748	5.381735	3.866598	3.28528	3.937836	1.74799	2.752235	2.655284
ENSBTAG00000021671	5.303677	8.305402	6.56827	20.35597	20.91079	21.48325	13.4337	26.27186	33.04789	21.03426	8.422091	8.617588	8.434189	8.473883	8.520329	10.42796	11.71093	3.80453	3.438341	4.752611	2.206062	11.2149	9.673598	9.749239	16.01624	27.84496	37.4848	32.26675	7.035109	6.282807	11.50615	6.563324	18.42011	11.21979	16.29589	16.38075	43.96418	39.47617	56.04909
ENSBTAG00000021678	13.52812	12.28376	11.84134	18.09895	19.44907	19.32031	9.734968	26.93377	24.87912	23.43393	5.844168	6.298445	4.856799	4.616872	13.99363	11.82386	11.75731	71.06409	109.6771	73.02702	84.84034	218.2506	194.4066	185.5771	37.13012	77.70725	89.21069	86.13466	31.39969	31.16772	20.46957	32.95713	11.55951	11.93264	14.08591	13.17797	38.77916	34.88316	46.8204
ENSBTAG00000021694	6.863372	7.022226	8.072822	21.62353	22.74511	21.86436	8.638977	25.29774	26.06655	19.62562	6.700326	8.311875	7.109803	6.838361	3.043082	3.053835	2.905106	3.990407	4.641106	4.352393	4.027199	4.629584	5.04051	2.900437	4.251965	17.60795	15.46621	15.50721	10.69334	8.213751	7.559003	7.952768	12.05179	9.347942	9.855572	10.12943	9.977523	9.627908	14.21913
ENSBTAG00000021695	43.44598	28.17467	13.08524	2.790347	1.551039	2.428736	5.829442	1.936798	2.36411	4.329502	10.11813	9.333814	8.265645	7.106833	0.907298	1.296901	2.730873	70.94051	84.4364	56.73906	89.86948	20.01073	14.34857	22.36855	6.881957	1.405156	3.820776	1.885513	10.65993	11.27879	9.839068	9.306887	7.617782	7.916144	6.93225	5.932861	2.429222	2.86867	0.82973
ENSBTAG00000021706	11.71582	15.63834	19.18218	0.619771	0.581284	0.287042	0.549878	0.655171	0.275217	0.309795	3.442648	4.261411	1.751984	4.489168	0.637676	1.012306	0.55228	17.37822	26.45414	15.57506	17.67049	4.928998	4.272425	5.497487	29.50776	21.45295	15.79541	16.80569	74.72441	59.79556	37.4168	45.34527	4.805475	6.180164	6.536786	4.883252	2.220611	3.61452	2.29073
ENSBTAG00000021720	106.2086	117.4885	91.21208	35.09938	33.03317	35.28464	40.14526	21.9148	29.57159	31.48316	225.4235	186.2488	253.7415	225.9344	20.12135	19.43725	36.28279	78.70777	76.61203	90.79236	86.59952	29.46107	12.65499	14.56037	28.84988	19.85022	39.22553	11.65924	76.68381	79.72409	122.7021	101.4265	73.15513	99.47171	99.88786	99.13048	29.55146	30.99899	18.46288
ENSBTAG00000021723	3.127619	6.155593	5.539225	4.732407	3.592927	3.928766	6.725364	8.094469	4.784494	5.889032	1.366293	1.862614	1.751796	1.019437	1.007908	0.868152	1.579966	2.6075	2.72512	2.626104	1.72445	0.98918	1.24999	1.804587	7.206347	6.796705	3.076683	5.15382	4.593799	4.40534	6.714423	6.38214	6.180737	5.441014	6.765507	5.666059	8.236784	9.231504	9.065078
ENSBTAG00000021724	62.10883	43.44142	33.40953	58.4907	54.43273	53.07033	26.30671	61.31432	66.63913	55.6784	296.4872	251.4446	279.3613	316.6953	232.3186	224.9024	209.6465	39.07549	38.65569	46.40553	33.00115	36.98983	46.96915	31.86224	19.31818	43.49852	52.72298	44.93315	37.87839	37.69421	43.21815	31.94533	48.83834	49.66845	46.26658	49.27554	47.73651	37.69368	70.89226
ENSBTAG00000021780	16.97556	12.89014	14.8822	14.30551	16.08402	16.84285	8.631298	8.607592	9.283163	10.54714	8.130187	12.3065	6.485246	7.359742	14.06814	12.16328	16.58817	9.661673	10.03831	8.500297	7.138205	16.92097	14.32669	16.67329	44.5396	31.27202	36.45909	32.6582	24.48176	23.38424	16.46689	18.6939	11.98924	13.91763	14.2533	14.54457	24.84297	24.11421	20.26944
ENSBTAG00000021781	19.95131	15.86306	16.75915	38.91988	33.46748	32.57485	27.60373	33.9312	32.15503	33.6876	74.54122	75.01563	58.2276	73.53746	86.02885	76.64816	100.7612	12.50075	12.32366	8.770802	10.21653	12.34712	9.309154	1.669069	23.38575	31.80934	19.25232	25.86627	17.28599	17.83725	16.25248	18.6653	13.4688	16.20551	14.41609	14.24187	21.51212	23.71499	19.00781
ENSBTAG00000021787	1.21906	1.054818	0.801216	5.160113	4.132196	3.831083	3.522252	2.272491	1.951716	2.700259	0.162979	0.090171	0.0	0.168838	0.0	0.0	0.166094	0.043096	0.053155	0.053365	0.268664	0.0	0.173255	0.0	1.244408	2.327616	1.134022	1.354634	2.41681	1.337408	1.684391	1.653444	0.551223	0.834045	0.83651	0.661747	0.867107	0.99625	0.426073
